feature,value
informative_0,0.9547402499655488
informative_1,1.0
noisy_2,0.10921415078731656
noisy_3,0.15366087641485915
noisy_4,0.11070328289417652
noisy_5,0.1611530024414416
noisy_6,0.0521111692601961
noisy_7,0.1660017619489903
noisy_8,0.06242247683552571
noisy_9,0.07077643932875
noisy_10,0.10738222155337485
noisy_11,0.09184770479761584
noisy_12,0.08744366263351877
noisy_13,0.08290030326638875
noisy_14,0.18728209797139805
noisy_15,0.1473038623996491
noisy_16,0.0
noisy_17,0.09492761530018412
noisy_18,0.18074407689620087
noisy_19,0.08006143393175114
noisy_20,0.1522683695734658
noisy_21,0.07132366199209317
noisy_22,0.08563522627316811
noisy_23,0.04023509863322883
noisy_24,0.11291625891042822
noisy_25,0.0895803270623583
noisy_26,0.15083446537119327
noisy_27,0.16430724396878238
noisy_28,0.14491092725066756
noisy_29,0.11449308675245073
noisy_30,0.09371253259761358
noisy_31,0.13380488373261346
noisy_32,0.1427378790704068
noisy_33,0.16929479980939677
noisy_34,0.11491748862020601
noisy_35,0.14023996250090554
noisy_36,0.08300018669723919
noisy_37,0.069881603564527
noisy_38,0.0652388957754172
noisy_39,0.14715451652288736
noisy_40,0.09520386149248572
noisy_41,0.040005393663545274
noisy_42,0.122752258007919
noisy_43,0.02606066207530877
noisy_44,0.10329914933088269
noisy_45,0.05279563494096828
noisy_46,0.1097448507023433
noisy_47,0.07854246834319023
noisy_48,0.08361254290475073
noisy_49,0.1385597057537309
