feature,value
9x26,3.6942755533925e-05
9x27,2.7598766445786665e-07
9x28,9.76780683992218e-08
10x1,1.6333372001859096e-07
10x2,6.750023971405407e-07
10x3,6.2211494960646e-07
10x4,1.9806357554915162e-06
10x5,3.0793743283315317e-05
10x6,0.0010896197045874216
10x7,0.00697110667101916
10x8,0.0023371132487794376
10x9,0.005080796892229681
10x10,0.004341262325295209
10x11,0.009045713742710593
10x12,0.03616622202305793
10x13,0.007966697920703642
10x14,0.008207472678337364
10x15,0.030494488797660337
10x16,0.032084039023722116
10x17,0.05128197158981307
10x18,0.007330427586420731
10x19,0.01415940473077094
10x20,0.01963115385319449
10x21,0.044809118112191036
10x22,0.003173396074690043
10x23,0.0044490632327707025
10x24,0.024172290183805147
10x25,0.006687784523731318
10x26,4.047873690503196e-05
10x27,5.459210990013305e-07
10x28,2.2406825510604968e-07
11x1,1.4144971833180154e-07
11x2,4.851784242731464e-07
11x3,5.763622314589736e-07
11x4,7.925895296080401e-07
11x5,1.8266993301425948e-05
11x6,0.0006702399638281968
11x7,0.0028742890378405674
11x8,0.008824655049180714
11x9,0.006200966011226088
11x10,0.04794318798423001
11x11,0.03615139027745174
11x12,0.029858513300934118
11x13,0.008996919085484282
11x14,0.039416112849922594
11x15,0.12992944142192994
11x16,0.022861919389331086
11x17,0.01915994302040721
11x18,0.0070320938454797
11x19,0.0336046853207237
11x20,0.01173647583956782
11x21,0.01567788982436771
11x22,0.012893875920979812
11x23,0.008479602019395129
11x24,0.001332569291695061
11x25,4.858166596937746e-05
11x26,1.4871101449439605e-05
11x27,2.186672258273084e-06
11x28,2.2981201216159592e-07
12x1,1.5838574874706258e-07
12x2,4.983359861982595e-07
12x3,6.314931355334369e-07
12x4,1.0524240892185744e-06
12x5,6.607074117754007e-06
12x6,0.00027817221610883767
12x7,0.002530535533494128
12x8,0.011366606197032638
12x9,0.006999256064735213
12x10,0.013089133739269771
12x11,0.03639504997039493
12x12,0.027565423507392484
12x13,0.00638783896105058
12x14,0.015754694364299753
12x15,0.04756865002769765
12x16,0.02653435879984337
12x17,0.005688660195613165
12x18,0.02012469216656699
12x19,0.015889016413347223
12x20,0.007800811493596137
12x21,0.011169492584312298
12x22,0.006784397176175983
12x23,0.00549112583666485
12x24,0.0016200426917298227
12x25,3.569418488929419e-05
12x26,1.0218828706141291e-05
12x27,1.1869251170215963e-06
12x28,8.789408965785116e-07
13x1,1.602433030554024e-07
13x2,4.86458284893469e-07
13x3,6.56798487750993e-07
13x4,7.437741884663005e-07
13x5,1.5952251082993358e-05
13x6,0.0006880451638303687
13x7,0.011501264304491865
13x8,0.01311567258769895
13x9,0.015456290217241696
13x10,0.007930622322410446
13x11,0.021487541444132088
13x12,0.02086038465824711
13x13,0.022027714375817624
13x14,0.022063679003078703
13x15,0.10766669254536912
13x16,0.010203623274439568
13x17,0.013779295934817635
13x18,0.032989445546176874
13x19,0.00852363114298275
13x20,0.015855015779912
13x21,0.0031895823831788266
13x22,0.000716127383242244
13x23,0.0038170031387560633
13x24,0.0028630996130569954
13x25,1.4657809407838095e-05
13x26,3.2042723864737463e-07
13x27,4.246597714971535e-07
13x28,1.359744855266193e-07
14x1,1.402017963436326e-07
14x2,1.646980288321149e-07
14x3,4.3071922515565356e-07
14x4,7.609783339145104e-07
14x5,2.0276966803717728e-05
14x6,0.0005165155434996781
14x7,0.006824082995721854
14x8,0.005848077737761599
14x9,0.004639316826506358
14x10,0.008690590819012788
14x11,0.018036372376747614
14x12,0.019523638758547544
14x13,0.055386551608537234
14x14,0.06968924570601304
14x15,0.20836655964339254
14x16,0.009455087001487564
14x17,0.006295546759039483
14x18,0.008003476596479585
14x19,0.003894455961991214
14x20,0.002792711645465284
14x21,0.003567854645633596
14x22,0.0008539480201986453
14x23,0.0022917502363370146
14x24,0.004318921280449746
14x25,2.691688811968377e-05
14x26,1.291614886921428e-07
14x27,1.1936582771173393e-07
14x28,1.2300937707042074e-07
15x1,1.3450615009399285e-07
15x2,1.213495068452044e-07
15x3,4.091390120196524e-07
15x4,8.270273927931837e-07
15x5,3.607095283588516e-05
15x6,0.0013680059656060429
15x7,0.0057303013091020965
15x8,0.01803192172370701
15x9,0.03725979294847566
15x10,0.0229121876949752
15x11,0.00815446225860477
15x12,0.037624538834298296
15x13,0.020535822374842104
15x14,0.03748158486769962
15x15,0.100105399097216
15x16,0.025168506676450847
15x17,0.01336926355493768
15x18,0.016795175163240653
